Title,Top ten European-Union countries of domicile (excluding the UK) in 2016/17 for HE student enrolments,,,
Location,UK,,,
Time period,2012/13 to 2016/17,,,
Data source,HESA,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10.csv,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,
Code page,ISO 8859-1,,,
Last updated,Jan-18,,,
,,,,
Country of domicile,Country of HE provider,First year marker,Academic year,Student count
Croatia,England,All,2014/15,285.000
Croatia,England,First year,2013/14,115.000
Croatia,England,Other years,2013/14,95.000
Croatia,England,All,2013/14,210.000
Croatia,England,First year,2012/13,0.000
Croatia,England,Other years,2012/13,0.000
Croatia,England,All,2012/13,0.000
Croatia,Northern Ireland,First year,2016/17,0.000
Croatia,Northern Ireland,Other years,2016/17,0.000
Croatia,Northern Ireland,All,2016/17,5.000
Croatia,Northern Ireland,First year,2015/16,0.000
Croatia,Northern Ireland,Other years,2015/16,0.000
Croatia,Northern Ireland,All,2015/16,5.000
Croatia,Northern Ireland,First year,2014/15,0.000
Croatia,Northern Ireland,Other years,2014/15,0.000
Croatia,Northern Ireland,All,2014/15,0.000
Croatia,Northern Ireland,First year,2013/14,5.000
Croatia,Northern Ireland,Other years,2013/14,0.000
Croatia,Northern Ireland,All,2013/14,5.000
Croatia,Northern Ireland,First year,2012/13,0.000
Croatia,Northern Ireland,Other years,2012/13,0.000
Croatia,Northern Ireland,All,2012/13,0.000
Croatia,Scotland,First year,2016/17,35.000
Croatia,Scotland,Other years,2016/17,50.000
Croatia,Scotland,All,2016/17,85.000
Croatia,Scotland,First year,2015/16,40.000
Croatia,Scotland,Other years,2015/16,35.000
Croatia,Scotland,All,2015/16,75.000
Croatia,Scotland,First year,2014/15,25.000
Croatia,Scotland,Other years,2014/15,25.000
Croatia,Scotland,All,2014/15,50.000
Croatia,Scotland,First year,2013/14,20.000
Croatia,Scotland,Other years,2013/14,15.000
Croatia,Scotland,All,2013/14,35.000
Croatia,Scotland,First year,2012/13,0.000
Croatia,Scotland,Other years,2012/13,0.000
Croatia,Scotland,All,2012/13,0.000
Croatia,Wales,First year,2016/17,20.000
Croatia,Wales,Other years,2016/17,20.000
