Title,Top ten European-Union countries of domicile (excluding the UK) in 2016/17 for HE student enrolments,,,
Location,UK,,,
Time period,2012/13 to 2016/17,,,
Data source,HESA,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10.csv,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,
Code page,ISO 8859-1,,,
Last updated,Jan-18,,,
,,,,
Country of domicile,Country of HE provider,First year marker,Academic year,Student count
Luxembourg,Northern Ireland,First year,2013/14,0.000
Luxembourg,Northern Ireland,Other years,2013/14,0.000
Luxembourg,Northern Ireland,All,2013/14,0.000
Luxembourg,Northern Ireland,First year,2012/13,0.000
Luxembourg,Northern Ireland,Other years,2012/13,0.000
Luxembourg,Northern Ireland,All,2012/13,0.000
Luxembourg,Scotland,First year,2016/17,95.000
Luxembourg,Scotland,Other years,2016/17,160.000
Luxembourg,Scotland,All,2016/17,250.000
Luxembourg,Scotland,First year,2015/16,85.000
Luxembourg,Scotland,Other years,2015/16,165.000
Luxembourg,Scotland,All,2015/16,250.000
Luxembourg,Scotland,First year,2014/15,110.000
Luxembourg,Scotland,Other years,2014/15,135.000
Luxembourg,Scotland,All,2014/15,250.000
Luxembourg,Scotland,First year,2013/14,85.000
Luxembourg,Scotland,Other years,2013/14,110.000
Luxembourg,Scotland,All,2013/14,195.000
Luxembourg,Scotland,First year,2012/13,70.000
Luxembourg,Scotland,Other years,2012/13,115.000
Luxembourg,Scotland,All,2012/13,185.000
Luxembourg,Wales,First year,2016/17,25.000
Luxembourg,Wales,Other years,2016/17,30.000
Luxembourg,Wales,All,2016/17,55.000
Luxembourg,Wales,First year,2015/16,25.000
Luxembourg,Wales,Other years,2015/16,25.000
Luxembourg,Wales,All,2015/16,45.000
Luxembourg,Wales,First year,2014/15,20.000
Luxembourg,Wales,Other years,2014/15,25.000
Luxembourg,Wales,All,2014/15,45.000
Luxembourg,Wales,First year,2013/14,20.000
Luxembourg,Wales,Other years,2013/14,20.000
Luxembourg,Wales,All,2013/14,40.000
Luxembourg,Wales,First year,2012/13,15.000
Luxembourg,Wales,Other years,2012/13,15.000
Luxembourg,Wales,All,2012/13,25.000
Malta,All,All,2016/17,760.000
Malta,All,First year,2016/17,335.000
Malta,All,Other years,2016/17,425.000
Malta,All,All,2015/16,770.000
Malta,All,First year,2015/16,320.000
Malta,All,Other years,2015/16,450.000
Malta,All,All,2014/15,895.000
Malta,All,First year,2014/15,360.000
Malta,All,Other years,2014/15,530.000
Malta,All,All,2013/14,980.000
Malta,All,First year,2013/14,440.000
Malta,All,Other years,2013/14,540.000
Malta,All,All,2012/13,1015.000
Malta,All,First year,2012/13,410.000
Malta,All,Other years,2012/13,600.000
Malta,England,First year,2016/17,225.000
Malta,England,Other years,2016/17,340.000
Malta,England,All,2016/17,565.000
Malta,England,First year,2015/16,245.000
Malta,England,Other years,2015/16,380.000
Malta,England,All,2015/16,625.000
Malta,England,First year,2014/15,290.000
Malta,England,Other years,2014/15,435.000
Malta,England,All,2014/15,725.000
Malta,England,First year,2013/14,360.000
Malta,England,Other years,2013/14,455.000
Malta,England,All,2013/14,815.000
Malta,England,First year,2012/13,340.000
Malta,England,Other years,2012/13,485.000
Malta,England,All,2012/13,825.000
Malta,Northern Ireland,First year,2016/17,10.000
Malta,Northern Ireland,Other years,2016/17,5.000
Malta,Northern Ireland,All,2016/17,10.000
Malta,Northern Ireland,First year,2015/16,0.000
Malta,Northern Ireland,Other years,2015/16,0.000
Malta,Northern Ireland,All,2015/16,5.000
Malta,Northern Ireland,First year,2014/15,0.000
Malta,Northern Ireland,Other years,2014/15,5.000
Malta,Northern Ireland,All,2014/15,5.000
Malta,Northern Ireland,First year,2013/14,5.000
Malta,Northern Ireland,Other years,2013/14,0.000
Malta,Northern Ireland,All,2013/14,5.000
Malta,Northern Ireland,First year,2012/13,5.000
Malta,Northern Ireland,Other years,2012/13,5.000
Malta,Northern Ireland,All,2012/13,10.000
Malta,Scotland,First year,2016/17,80.000
Malta,Scotland,Other years,2016/17,55.000
Malta,Scotland,All,2016/17,140.000
Malta,Scotland,First year,2015/16,55.000
Malta,Scotland,Other years,2015/16,45.000
Malta,Scotland,All,2015/16,100.000
Malta,Scotland,First year,2014/15,55.000
Malta,Scotland,Other years,2014/15,65.000
Malta,Scotland,All,2014/15,120.000
Malta,Scotland,First year,2013/14,50.000
Malta,Scotland,Other years,2013/14,65.000
Malta,Scotland,All,2013/14,115.000
Malta,Scotland,First year,2012/13,45.000
Malta,Scotland,Other years,2012/13,75.000
Malta,Scotland,All,2012/13,125.000
Malta,Wales,First year,2016/17,20.000
Malta,Wales,Other years,2016/17,25.000
Malta,Wales,All,2016/17,45.000
Malta,Wales,First year,2015/16,20.000
Malta,Wales,Other years,2015/16,25.000
Malta,Wales,All,2015/16,45.000
Malta,Wales,First year,2014/15,20.000
Malta,Wales,Other years,2014/15,25.000
Malta,Wales,All,2014/15,45.000
Malta,Wales,First year,2013/14,25.000
Malta,Wales,Other years,2013/14,25.000
Malta,Wales,All,2013/14,45.000
Malta,Wales,First year,2012/13,20.000
Malta,Wales,Other years,2012/13,35.000
Malta,Wales,All,2012/13,50.000
Martinique,All,All,2016/17,10.000
Martinique,All,First year,2016/17,5.000
Martinique,All,Other years,2016/17,5.000
Martinique,All,All,2015/16,10.000
Martinique,All,First year,2015/16,5.000
Martinique,All,Other years,2015/16,10.000
Martinique,All,All,2014/15,10.000
Martinique,All,First year,2014/15,10.000
Martinique,All,Other years,2014/15,5.000
Martinique,All,All,2013/14,10.000
Martinique,All,First year,2013/14,5.000
Martinique,All,Other years,2013/14,5.000
Martinique,All,All,2012/13,10.000
Martinique,All,First year,2012/13,5.000
Martinique,All,Other years,2012/13,10.000
Martinique,England,First year,2016/17,5.000
Martinique,England,Other years,2016/17,5.000
Martinique,England,All,2016/17,10.000
Martinique,England,First year,2015/16,5.000
Martinique,England,Other years,2015/16,5.000
Martinique,England,All,2015/16,10.000
Martinique,England,First year,2014/15,10.000
Martinique,England,Other years,2014/15,0.000
Martinique,England,All,2014/15,10.000
Martinique,England,First year,2013/14,5.000
Martinique,England,Other years,2013/14,5.000
Martinique,England,All,2013/14,10.000
Martinique,England,First year,2012/13,5.000
Martinique,England,Other years,2012/13,10.000
Martinique,England,All,2012/13,10.000
Martinique,Northern Ireland,First year,2016/17,0.000
Martinique,Northern Ireland,Other years,2016/17,0.000
Martinique,Northern Ireland,All,2016/17,0.000
Martinique,Northern Ireland,First year,2015/16,0.000
Martinique,Northern Ireland,Other years,2015/16,0.000
Martinique,Northern Ireland,All,2015/16,0.000
Martinique,Northern Ireland,First year,2014/15,0.000
Martinique,Northern Ireland,Other years,2014/15,0.000
Martinique,Northern Ireland,All,2014/15,0.000
Martinique,Northern Ireland,First year,2013/14,0.000
Martinique,Northern Ireland,Other years,2013/14,0.000
Martinique,Northern Ireland,All,2013/14,0.000
Martinique,Northern Ireland,First year,2012/13,0.000
Martinique,Northern Ireland,Other years,2012/13,0.000
Martinique,Northern Ireland,All,2012/13,0.000
Martinique,Scotland,First year,2016/17,0.000
Martinique,Scotland,Other years,2016/17,0.000
Martinique,Scotland,All,2016/17,0.000
Martinique,Scotland,First year,2015/16,0.000
Martinique,Scotland,Other years,2015/16,0.000
Martinique,Scotland,All,2015/16,0.000
Martinique,Scotland,First year,2014/15,0.000
Martinique,Scotland,Other years,2014/15,0.000
Martinique,Scotland,All,2014/15,0.000
Martinique,Scotland,First year,2013/14,0.000
Martinique,Scotland,Other years,2013/14,0.000
Martinique,Scotland,All,2013/14,0.000
Martinique,Scotland,First year,2012/13,0.000
Martinique,Scotland,Other years,2012/13,0.000
Martinique,Scotland,All,2012/13,0.000
Martinique,Wales,First year,2016/17,0.000
Martinique,Wales,Other years,2016/17,0.000
Martinique,Wales,All,2016/17,0.000
Martinique,Wales,First year,2015/16,0.000
Martinique,Wales,Other years,2015/16,0.000
Martinique,Wales,All,2015/16,0.000
Martinique,Wales,First year,2014/15,0.000
Martinique,Wales,Other years,2014/15,0.000
Martinique,Wales,All,2014/15,0.000
Martinique,Wales,First year,2013/14,0.000
Martinique,Wales,Other years,2013/14,0.000
Martinique,Wales,All,2013/14,0.000
Martinique,Wales,First year,2012/13,0.000
Martinique,Wales,Other years,2012/13,0.000
Martinique,Wales,All,2012/13,0.000
Mayotte,All,All,2016/17,
Mayotte,All,First year,2016/17,
Mayotte,All,Other years,2016/17,
Mayotte,All,All,2015/16,
Mayotte,All,First year,2015/16,
Mayotte,All,Other years,2015/16,
Mayotte,All,All,2014/15,
Mayotte,All,First year,2014/15,
Mayotte,All,Other years,2014/15,
Mayotte,All,All,2013/14,
Mayotte,All,First year,2013/14,
Mayotte,All,Other years,2013/14,
Mayotte,All,All,2012/13,
Mayotte,All,First year,2012/13,
Mayotte,All,Other years,2012/13,
Mayotte,England,First year,2016/17,0.000
Mayotte,England,Other years,2016/17,0.000
Mayotte,England,All,2016/17,
Mayotte,England,First year,2015/16,0.000
Mayotte,England,Other years,2015/16,0.000
Mayotte,England,All,2015/16,
Mayotte,England,First year,2014/15,0.000
Mayotte,England,Other years,2014/15,0.000
Mayotte,England,All,2014/15,
Mayotte,England,First year,2013/14,0.000
Mayotte,England,Other years,2013/14,0.000
Mayotte,England,All,2013/14,
Mayotte,England,First year,2012/13,0.000
Mayotte,England,Other years,2012/13,0.000
Mayotte,England,All,2012/13,
Mayotte,Northern Ireland,First year,2016/17,0.000
Mayotte,Northern Ireland,Other years,2016/17,0.000
Mayotte,Northern Ireland,All,2016/17,
Mayotte,Northern Ireland,First year,2015/16,0.000
Mayotte,Northern Ireland,Other years,2015/16,0.000
Mayotte,Northern Ireland,All,2015/16,
Mayotte,Northern Ireland,First year,2014/15,0.000
Mayotte,Northern Ireland,Other years,2014/15,0.000
Mayotte,Northern Ireland,All,2014/15,
Mayotte,Northern Ireland,First year,2013/14,0.000
Mayotte,Northern Ireland,Other years,2013/14,0.000
Mayotte,Northern Ireland,All,2013/14,
Mayotte,Northern Ireland,First year,2012/13,0.000
Mayotte,Northern Ireland,Other years,2012/13,0.000
Mayotte,Northern Ireland,All,2012/13,
Mayotte,Scotland,First year,2016/17,0.000
Mayotte,Scotland,Other years,2016/17,0.000
Mayotte,Scotland,All,2016/17,
Mayotte,Scotland,First year,2015/16,0.000
Mayotte,Scotland,Other years,2015/16,0.000
Mayotte,Scotland,All,2015/16,
Mayotte,Scotland,First year,2014/15,0.000
Mayotte,Scotland,Other years,2014/15,0.000
Mayotte,Scotland,All,2014/15,
Mayotte,Scotland,First year,2013/14,0.000
Mayotte,Scotland,Other years,2013/14,0.000
Mayotte,Scotland,All,2013/14,
Mayotte,Scotland,First year,2012/13,0.000
Mayotte,Scotland,Other years,2012/13,0.000
Mayotte,Scotland,All,2012/13,
Mayotte,Wales,First year,2016/17,0.000
Mayotte,Wales,Other years,2016/17,0.000
Mayotte,Wales,All,2016/17,
Mayotte,Wales,First year,2015/16,0.000
Mayotte,Wales,Other years,2015/16,0.000
Mayotte,Wales,All,2015/16,
Mayotte,Wales,First year,2014/15,0.000
Mayotte,Wales,Other years,2014/15,0.000
Mayotte,Wales,All,2014/15,
Mayotte,Wales,First year,2013/14,0.000
Mayotte,Wales,Other years,2013/14,0.000
Mayotte,Wales,All,2013/14,
Mayotte,Wales,First year,2012/13,0.000
Mayotte,Wales,Other years,2012/13,0.000
Mayotte,Wales,All,2012/13,
Netherlands,All,All,2016/17,3540.000
Netherlands,All,First year,2016/17,1720.000
Netherlands,All,Other years,2016/17,1820.000
Netherlands,All,All,2015/16,3490.000
Netherlands,All,First year,2015/16,1705.000
Netherlands,All,Other years,2015/16,1785.000
Netherlands,All,All,2014/15,3390.000
Netherlands,All,First year,2014/15,1730.000
Netherlands,All,Other years,2014/15,1660.000
Netherlands,All,All,2013/14,3340.000
Netherlands,All,First year,2013/14,1635.000
Netherlands,All,Other years,2013/14,1705.000
Netherlands,All,All,2012/13,3330.000
Netherlands,All,First year,2012/13,1630.000
Netherlands,All,Other years,2012/13,1700.000
Netherlands,England,First year,2016/17,1360.000
Netherlands,England,Other years,2016/17,1465.000
Netherlands,England,All,2016/17,2825.000
Netherlands,England,First year,2015/16,1395.000
Netherlands,England,Other years,2015/16,1450.000
Netherlands,England,All,2015/16,2845.000
Netherlands,England,First year,2014/15,1420.000
Netherlands,England,Other years,2014/15,1355.000
Netherlands,England,All,2014/15,2775.000
Netherlands,England,First year,2013/14,1320.000
Netherlands,England,Other years,2013/14,1415.000
Netherlands,England,All,2013/14,2735.000
Netherlands,England,First year,2012/13,1320.000
Netherlands,England,Other years,2012/13,1420.000
Netherlands,England,All,2012/13,2740.000
Netherlands,Northern Ireland,First year,2016/17,5.000
Netherlands,Northern Ireland,Other years,2016/17,5.000
Netherlands,Northern Ireland,All,2016/17,10.000
Netherlands,Northern Ireland,First year,2015/16,5.000
Netherlands,Northern Ireland,Other years,2015/16,5.000
Netherlands,Northern Ireland,All,2015/16,10.000
Netherlands,Northern Ireland,First year,2014/15,5.000
Netherlands,Northern Ireland,Other years,2014/15,5.000
Netherlands,Northern Ireland,All,2014/15,10.000
Netherlands,Northern Ireland,First year,2013/14,5.000
Netherlands,Northern Ireland,Other years,2013/14,5.000
Netherlands,Northern Ireland,All,2013/14,15.000
Netherlands,Northern Ireland,First year,2012/13,5.000
Netherlands,Northern Ireland,Other years,2012/13,10.000
Netherlands,Northern Ireland,All,2012/13,10.000
Netherlands,Scotland,First year,2016/17,280.000
Netherlands,Scotland,Other years,2016/17,270.000
Netherlands,Scotland,All,2016/17,545.000
Netherlands,Scotland,First year,2015/16,250.000
Netherlands,Scotland,Other years,2015/16,265.000
Netherlands,Scotland,All,2015/16,515.000
Netherlands,Scotland,First year,2014/15,250.000
Netherlands,Scotland,Other years,2014/15,230.000
Netherlands,Scotland,All,2014/15,480.000
Netherlands,Scotland,First year,2013/14,255.000
Netherlands,Scotland,Other years,2013/14,210.000
Netherlands,Scotland,All,2013/14,465.000
Netherlands,Scotland,First year,2012/13,250.000
Netherlands,Scotland,Other years,2012/13,205.000
Netherlands,Scotland,All,2012/13,455.000
Netherlands,Wales,First year,2016/17,80.000
Netherlands,Wales,Other years,2016/17,80.000
Netherlands,Wales,All,2016/17,155.000
Netherlands,Wales,First year,2015/16,55.000
Netherlands,Wales,Other years,2015/16,65.000
Netherlands,Wales,All,2015/16,120.000
Netherlands,Wales,First year,2014/15,55.000
Netherlands,Wales,Other years,2014/15,75.000
Netherlands,Wales,All,2014/15,125.000
Netherlands,Wales,First year,2013/14,55.000
Netherlands,Wales,Other years,2013/14,70.000
Netherlands,Wales,All,2013/14,125.000
Netherlands,Wales,First year,2012/13,55.000
Netherlands,Wales,Other years,2012/13,65.000
Netherlands,Wales,All,2012/13,125.000
Poland,All,All,2016/17,6585.000
Poland,All,First year,2016/17,2990.000
Poland,All,Other years,2016/17,3595.000
Poland,All,All,2015/16,5655.000
Poland,All,First year,2015/16,2450.000
Poland,All,Other years,2015/16,3205.000
Poland,All,All,2014/15,5245.000
Poland,All,First year,2014/15,2270.000
Poland,All,Other years,2014/15,2980.000
Poland,All,All,2013/14,5200.000
Poland,All,First year,2013/14,2150.000
Poland,All,Other years,2013/14,3045.000
Poland,All,All,2012/13,5305.000
Poland,All,First year,2012/13,1960.000
Poland,All,Other years,2012/13,3345.000
Poland,England,First year,2016/17,2355.000
Poland,England,Other years,2016/17,2705.000
Poland,England,All,2016/17,5060.000
Poland,England,First year,2015/16,1910.000
Poland,England,Other years,2015/16,2380.000
Poland,England,All,2015/16,4290.000
Poland,England,First year,2014/15,1745.000
Poland,England,Other years,2014/15,2170.000
Poland,England,All,2014/15,3920.000
Poland,England,First year,2013/14,1615.000
Poland,England,Other years,2013/14,2220.000
Poland,England,All,2013/14,3835.000
Poland,England,First year,2012/13,1430.000
Poland,England,Other years,2012/13,2450.000
Poland,England,All,2012/13,3885.000
Poland,Northern Ireland,First year,2016/17,5.000
Poland,Northern Ireland,Other years,2016/17,10.000
Poland,Northern Ireland,All,2016/17,15.000
Poland,Northern Ireland,First year,2015/16,10.000
Poland,Northern Ireland,Other years,2015/16,10.000
Poland,Northern Ireland,All,2015/16,20.000
Poland,Northern Ireland,First year,2014/15,10.000
Poland,Northern Ireland,Other years,2014/15,5.000
Poland,Northern Ireland,All,2014/15,15.000
Poland,Northern Ireland,First year,2013/14,5.000
Poland,Northern Ireland,Other years,2013/14,5.000
Poland,Northern Ireland,All,2013/14,10.000
Poland,Northern Ireland,First year,2012/13,5.000
Poland,Northern Ireland,Other years,2012/13,5.000
Poland,Northern Ireland,All,2012/13,15.000
Poland,Scotland,First year,2016/17,355.000
Poland,Scotland,Other years,2016/17,605.000
Poland,Scotland,All,2016/17,960.000
Poland,Scotland,First year,2015/16,335.000
Poland,Scotland,Other years,2015/16,560.000
Poland,Scotland,All,2015/16,895.000
Poland,Scotland,First year,2014/15,335.000
Poland,Scotland,Other years,2014/15,555.000
Poland,Scotland,All,2014/15,890.000
Poland,Scotland,First year,2013/14,355.000
Poland,Scotland,Other years,2013/14,590.000
Poland,Scotland,All,2013/14,940.000
Poland,Scotland,First year,2012/13,345.000
Poland,Scotland,Other years,2012/13,660.000
Poland,Scotland,All,2012/13,1005.000
Poland,Wales,First year,2016/17,275.000
Poland,Wales,Other years,2016/17,270.000
Poland,Wales,All,2016/17,550.000
Poland,Wales,First year,2015/16,200.000
Poland,Wales,Other years,2015/16,250.000
Poland,Wales,All,2015/16,450.000
Poland,Wales,First year,2014/15,175.000
Poland,Wales,Other years,2014/15,245.000
Poland,Wales,All,2014/15,420.000
Poland,Wales,First year,2013/14,175.000
Poland,Wales,Other years,2013/14,235.000
Poland,Wales,All,2013/14,410.000
Poland,Wales,First year,2012/13,180.000
Poland,Wales,Other years,2012/13,225.000
Poland,Wales,All,2012/13,405.000
Portugal,All,All,2016/17,3695.000
Portugal,All,First year,2016/17,1815.000
Portugal,All,Other years,2016/17,1885.000
Portugal,All,All,2015/16,3090.000
Portugal,All,First year,2015/16,1500.000
Portugal,All,Other years,2015/16,1595.000
Portugal,All,All,2014/15,2730.000
Portugal,All,First year,2014/15,1265.000
Portugal,All,Other years,2014/15,1465.000
Portugal,All,All,2013/14,2530.000
Portugal,All,First year,2013/14,1155.000
Portugal,All,Other years,2013/14,1375.000
Portugal,All,All,2012/13,2390.000
Portugal,All,First year,2012/13,1025.000
Portugal,All,Other years,2012/13,1365.000
Portugal,England,First year,2016/17,1685.000
Portugal,England,Other years,2016/17,1680.000
Portugal,England,All,2016/17,3365.000
Portugal,England,First year,2015/16,1350.000
Portugal,England,Other years,2015/16,1395.000
Portugal,England,All,2015/16,2745.000
Portugal,England,First year,2014/15,1120.000
Portugal,England,Other years,2014/15,1255.000
Portugal,England,All,2014/15,2375.000
Portugal,England,First year,2013/14,1010.000
Portugal,England,Other years,2013/14,1185.000
Portugal,England,All,2013/14,2195.000
Portugal,England,First year,2012/13,885.000
Portugal,England,Other years,2012/13,1195.000
Portugal,England,All,2012/13,2080.000
Portugal,Northern Ireland,First year,2016/17,0.000
Portugal,Northern Ireland,Other years,2016/17,10.000
Portugal,Northern Ireland,All,2016/17,10.000
Portugal,Northern Ireland,First year,2015/16,5.000
Portugal,Northern Ireland,Other years,2015/16,5.000
Portugal,Northern Ireland,All,2015/16,10.000
Portugal,Northern Ireland,First year,2014/15,5.000
Portugal,Northern Ireland,Other years,2014/15,5.000
Portugal,Northern Ireland,All,2014/15,10.000
Portugal,Northern Ireland,First year,2013/14,0.000
Portugal,Northern Ireland,Other years,2013/14,5.000
Portugal,Northern Ireland,All,2013/14,10.000
Portugal,Northern Ireland,First year,2012/13,0.000
Portugal,Northern Ireland,Other years,2012/13,5.000
Portugal,Northern Ireland,All,2012/13,5.000
Portugal,Scotland,First year,2016/17,80.000
Portugal,Scotland,Other years,2016/17,135.000
Portugal,Scotland,All,2016/17,215.000
Portugal,Scotland,First year,2015/16,105.000
Portugal,Scotland,Other years,2015/16,140.000
Portugal,Scotland,All,2015/16,245.000
Portugal,Scotland,First year,2014/15,90.000
Portugal,Scotland,Other years,2014/15,155.000
Portugal,Scotland,All,2014/15,245.000
Portugal,Scotland,First year,2013/14,105.000
Portugal,Scotland,Other years,2013/14,140.000
Portugal,Scotland,All,2013/14,240.000
Portugal,Scotland,First year,2012/13,105.000
Portugal,Scotland,Other years,2012/13,110.000
Portugal,Scotland,All,2012/13,215.000
Portugal,Wales,First year,2016/17,50.000
Portugal,Wales,Other years,2016/17,60.000
Portugal,Wales,All,2016/17,110.000
Portugal,Wales,First year,2015/16,40.000
Portugal,Wales,Other years,2015/16,50.000
Portugal,Wales,All,2015/16,90.000
Portugal,Wales,First year,2014/15,50.000
Portugal,Wales,Other years,2014/15,50.000
Portugal,Wales,All,2014/15,95.000
Portugal,Wales,First year,2013/14,40.000
Portugal,Wales,Other years,2013/14,50.000
Portugal,Wales,All,2013/14,85.000
Portugal,Wales,First year,2012/13,35.000
Portugal,Wales,Other years,2012/13,50.000
Portugal,Wales,All,2012/13,90.000
Romania,All,All,2016/17,8110.000
Romania,All,First year,2016/17,3435.000
Romania,All,Other years,2016/17,4675.000
Romania,All,All,2015/16,7200.000
Romania,All,First year,2015/16,3070.000
Romania,All,Other years,2015/16,4130.000
Romania,All,All,2014/15,6590.000
Romania,All,First year,2014/15,2450.000
Romania,All,Other years,2014/15,4140.000
Romania,All,All,2013/14,6515.000
Romania,All,First year,2013/14,2310.000
Romania,All,Other years,2013/14,4205.000
Romania,All,All,2012/13,6475.000
Romania,All,First year,2012/13,2490.000
Romania,All,Other years,2012/13,3985.000
Romania,England,First year,2016/17,3150.000
Romania,England,Other years,2016/17,4165.000
Romania,England,All,2016/17,7310.000
Romania,England,First year,2015/16,2780.000
Romania,England,Other years,2015/16,3580.000
Romania,England,All,2015/16,6360.000
Romania,England,First year,2014/15,2170.000
Romania,England,Other years,2014/15,3515.000
Romania,England,All,2014/15,5685.000
Romania,England,First year,2013/14,2040.000
Romania,England,Other years,2013/14,3565.000
Romania,England,All,2013/14,5605.000
Romania,England,First year,2012/13,2155.000
Romania,England,Other years,2012/13,3435.000
Romania,England,All,2012/13,5585.000
Romania,Northern Ireland,First year,2016/17,10.000
Romania,Northern Ireland,Other years,2016/17,25.000
Romania,Northern Ireland,All,2016/17,35.000
Romania,Northern Ireland,First year,2015/16,5.000
Romania,Northern Ireland,Other years,2015/16,30.000
Romania,Northern Ireland,All,2015/16,35.000
Romania,Northern Ireland,First year,2014/15,40.000
Romania,Northern Ireland,Other years,2014/15,5.000
Romania,Northern Ireland,All,2014/15,50.000
Romania,Northern Ireland,First year,2013/14,5.000
Romania,Northern Ireland,Other years,2013/14,5.000
Romania,Northern Ireland,All,2013/14,10.000
Romania,Northern Ireland,First year,2012/13,5.000
Romania,Northern Ireland,Other years,2012/13,10.000
Romania,Northern Ireland,All,2012/13,15.000
Romania,Scotland,First year,2016/17,155.000
Romania,Scotland,Other years,2016/17,345.000
Romania,Scotland,All,2016/17,500.000
Romania,Scotland,First year,2015/16,180.000
Romania,Scotland,Other years,2015/16,405.000
Romania,Scotland,All,2015/16,585.000
Romania,Scotland,First year,2014/15,160.000
Romania,Scotland,Other years,2014/15,505.000
Romania,Scotland,All,2014/15,665.000
Romania,Scotland,First year,2013/14,180.000
Romania,Scotland,Other years,2013/14,520.000
Romania,Scotland,All,2013/14,700.000
Romania,Scotland,First year,2012/13,250.000
Romania,Scotland,Other years,2012/13,440.000
Romania,Scotland,All,2012/13,685.000
Romania,Wales,First year,2016/17,125.000
Romania,Wales,Other years,2016/17,140.000
Romania,Wales,All,2016/17,270.000
Romania,Wales,First year,2015/16,105.000
Romania,Wales,Other years,2015/16,115.000
Romania,Wales,All,2015/16,220.000
Romania,Wales,First year,2014/15,75.000
Romania,Wales,Other years,2014/15,115.000
Romania,Wales,All,2014/15,190.000
Romania,Wales,First year,2013/14,85.000
Romania,Wales,Other years,2013/14,110.000
Romania,Wales,All,2013/14,195.000
Romania,Wales,First year,2012/13,85.000
Romania,Wales,Other years,2012/13,105.000
Romania,Wales,All,2012/13,190.000
Réunion,All,All,2016/17,30.000
Réunion,All,First year,2016/17,10.000
Réunion,All,Other years,2016/17,20.000
Réunion,All,All,2015/16,30.000
Réunion,All,First year,2015/16,20.000
Réunion,All,Other years,2015/16,10.000
Réunion,All,All,2014/15,15.000
Réunion,All,First year,2014/15,10.000
Réunion,All,Other years,2014/15,5.000
Réunion,All,All,2013/14,10.000
Réunion,All,First year,2013/14,5.000
Réunion,All,Other years,2013/14,5.000
Réunion,All,All,2012/13,20.000
Réunion,All,First year,2012/13,10.000
Réunion,All,Other years,2012/13,10.000
Réunion,England,First year,2016/17,5.000
Réunion,England,Other years,2016/17,20.000
Réunion,England,All,2016/17,25.000
Réunion,England,First year,2015/16,15.000
Réunion,England,Other years,2015/16,10.000
Réunion,England,All,2015/16,25.000
Réunion,England,First year,2014/15,10.000
Réunion,England,Other years,2014/15,5.000
Réunion,England,All,2014/15,15.000
Réunion,England,First year,2013/14,5.000
Réunion,England,Other years,2013/14,5.000
Réunion,England,All,2013/14,10.000
Réunion,England,First year,2012/13,10.000
Réunion,England,Other years,2012/13,10.000
Réunion,England,All,2012/13,20.000
Réunion,Northern Ireland,First year,2016/17,0.000
Réunion,Northern Ireland,Other years,2016/17,0.000
Réunion,Northern Ireland,All,2016/17,0.000
Réunion,Northern Ireland,First year,2015/16,0.000
Réunion,Northern Ireland,Other years,2015/16,0.000
Réunion,Northern Ireland,All,2015/16,0.000
Réunion,Northern Ireland,First year,2014/15,0.000
Réunion,Northern Ireland,Other years,2014/15,0.000
Réunion,Northern Ireland,All,2014/15,0.000
Réunion,Northern Ireland,First year,2013/14,0.000
Réunion,Northern Ireland,Other years,2013/14,0.000
Réunion,Northern Ireland,All,2013/14,0.000
Réunion,Northern Ireland,First year,2012/13,0.000
Réunion,Northern Ireland,Other years,2012/13,0.000
Réunion,Northern Ireland,All,2012/13,0.000
Réunion,Scotland,First year,2016/17,0.000
Réunion,Scotland,Other years,2016/17,0.000
Réunion,Scotland,All,2016/17,5.000
Réunion,Scotland,First year,2015/16,5.000
Réunion,Scotland,Other years,2015/16,0.000
Réunion,Scotland,All,2015/16,5.000
Réunion,Scotland,First year,2014/15,0.000
Réunion,Scotland,Other years,2014/15,0.000
Réunion,Scotland,All,2014/15,0.000
Réunion,Scotland,First year,2013/14,0.000
Réunion,Scotland,Other years,2013/14,0.000
Réunion,Scotland,All,2013/14,0.000
Réunion,Scotland,First year,2012/13,0.000
Réunion,Scotland,Other years,2012/13,0.000
Réunion,Scotland,All,2012/13,0.000
Réunion,Wales,First year,2016/17,0.000
Réunion,Wales,Other years,2016/17,0.000
Réunion,Wales,All,2016/17,0.000
Réunion,Wales,First year,2015/16,0.000
Réunion,Wales,Other years,2015/16,0.000
Réunion,Wales,All,2015/16,0.000
Réunion,Wales,First year,2014/15,0.000
Réunion,Wales,Other years,2014/15,0.000
Réunion,Wales,All,2014/15,0.000
Réunion,Wales,First year,2013/14,0.000
Réunion,Wales,Other years,2013/14,0.000
Réunion,Wales,All,2013/14,0.000
Réunion,Wales,First year,2012/13,0.000
Réunion,Wales,Other years,2012/13,0.000
Réunion,Wales,All,2012/13,0.000
Slovakia,All,All,2016/17,1695.000
Slovakia,All,First year,2016/17,785.000
Slovakia,All,Other years,2016/17,905.000
Slovakia,All,All,2015/16,1430.000
Slovakia,All,First year,2015/16,580.000
Slovakia,All,Other years,2015/16,850.000
Slovakia,All,All,2014/15,1415.000
Slovakia,All,First year,2014/15,605.000
Slovakia,All,Other years,2014/15,810.000
Slovakia,All,All,2013/14,1405.000
